Overlap,Num,Method
25,0,XTREE
25,0,ALVES
25,8,SHATW
25,0,OLIVE
50,3,XTREE
50,1,ALVES
50,0,SHATW
50,2,OLIVE
75,6,XTREE
75,6,ALVES
75,0,SHATW
75,1,OLIVE
100,118,XTREE
100,1,ALVES
100,0,SHATW
100,6,OLIVE
25,0,XTREE
25,0,ALVES
25,7,SHATW
25,0,OLIVE
50,3,XTREE
50,0,ALVES
50,0,SHATW
50,1,OLIVE
75,6,XTREE
75,4,ALVES
75,0,SHATW
75,1,OLIVE
100,118,XTREE
100,2,ALVES
100,0,SHATW
100,9,OLIVE
25,0,XTREE
25,0,ALVES
25,5,SHATW
25,0,OLIVE
50,3,XTREE
50,0,ALVES
50,0,SHATW
50,1,OLIVE
75,6,XTREE
75,8,ALVES
75,0,SHATW
75,5,OLIVE
100,118,XTREE
100,0,ALVES
100,0,SHATW
100,8,OLIVE
25,0,XTREE
25,0,ALVES
25,10,SHATW
25,0,OLIVE
50,3,XTREE
50,2,ALVES
50,0,SHATW
50,1,OLIVE
75,6,XTREE
75,5,ALVES
75,0,SHATW
75,3,OLIVE
100,118,XTREE
100,2,ALVES
100,0,SHATW
100,5,OLIVE
25,0,XTREE
25,0,ALVES
25,6,SHATW
25,0,OLIVE
50,3,XTREE
50,1,ALVES
50,0,SHATW
50,1,OLIVE
75,6,XTREE
75,11,ALVES
75,0,SHATW
75,4,OLIVE
100,118,XTREE
100,1,ALVES
100,0,SHATW
100,7,OLIVE
25,0,XTREE
25,0,ALVES
25,5,SHATW
25,0,OLIVE
50,3,XTREE
50,1,ALVES
50,0,SHATW
50,1,OLIVE
75,6,XTREE
75,3,ALVES
75,0,SHATW
75,3,OLIVE
100,118,XTREE
100,3,ALVES
100,0,SHATW
100,6,OLIVE
25,0,XTREE
25,0,ALVES
25,9,SHATW
25,0,OLIVE
50,3,XTREE
50,3,ALVES
50,0,SHATW
50,2,OLIVE
75,6,XTREE
75,7,ALVES
75,0,SHATW
75,2,OLIVE
100,118,XTREE
100,2,ALVES
100,0,SHATW
100,5,OLIVE
25,0,XTREE
25,0,ALVES
25,8,SHATW
25,0,OLIVE
50,3,XTREE
50,2,ALVES
50,0,SHATW
50,0,OLIVE
75,6,XTREE
75,5,ALVES
75,0,SHATW
75,2,OLIVE
100,118,XTREE
100,1,ALVES
100,0,SHATW
100,4,OLIVE
25,0,XTREE
25,0,ALVES
25,8,SHATW
25,0,OLIVE
50,3,XTREE
50,2,ALVES
50,0,SHATW
50,2,OLIVE
75,6,XTREE
75,5,ALVES
75,0,SHATW
75,4,OLIVE
100,118,XTREE
100,2,ALVES
100,0,SHATW
100,6,OLIVE
25,0,XTREE
25,0,ALVES
25,11,SHATW
25,0,OLIVE
50,3,XTREE
50,1,ALVES
50,0,SHATW
50,1,OLIVE
75,7,XTREE
75,7,ALVES
75,0,SHATW
75,1,OLIVE
100,117,XTREE
100,1,ALVES
100,0,SHATW
100,7,OLIVE
